period,sales_cumulative,sales_growth,retail_cumulative,retail_growth,date,year,month,sales_monthly,retail_monthly
201902,5.8,26.5,1.2,25.8,2019-02-01,2019,2,5.8,1.2
201903,8.4,36.7,1.6,36.0,2019-03-01,2019,3,2.6000000000000005,0.40000000000000013
201904,10.6,33.3,1.9,31.7,2019-04-01,2019,4,2.1999999999999993,0.2999999999999998
201905,12.7,31.7,2.1,28.3,2019-05-01,2019,5,2.0999999999999996,0.20000000000000018
201906,14.8,26.9,2.4,-12.8,2019-06-01,2019,6,2.1000000000000014,0.2999999999999998
201907,19.0,33.0,2.8,-10.7,2019-07-01,2019,7,4.199999999999999,0.3999999999999999
201908,22.1,34.4,2.8,-17.8,2019-08-01,2019,8,3.1000000000000014,0.0
201909,25.7,31.3,3.3,-22.6,2019-09-01,2019,9,3.599999999999998,0.5
201910,28.5,29.8,3.6,-24.6,2019-10-01,2019,10,2.8000000000000007,0.30000000000000027
201911,33.3,32.8,3.8,-28.1,2019-11-01,2019,11,4.799999999999997,0.19999999999999973
201912,38.9,31.4,4.0,-32.6,2019-12-01,2019,12,5.600000000000001,0.20000000000000018
202002,8.4,5.4,0.9,-27.3,2020-02-01,2020,2,8.4,0.9
202003,14.5,-0.8,1.1,-27.1,2020-03-01,2020,3,6.1,0.20000000000000007
202004,20.6,9.8,1.4,-24.0,2020-04-01,2020,4,6.100000000000001,0.2999999999999998
202005,26.4,17.2,1.7,-19.9,2020-05-01,2020,5,5.799999999999997,0.30000000000000004
202006,29.5,21.4,2.0,-18.1,2020-06-01,2020,6,3.1000000000000014,0.30000000000000004
202007,34.6,13.2,2.4,-15.0,2020-07-01,2020,7,5.100000000000001,0.3999999999999999
202008,38.8,16.0,2.7,-13.4,2020-08-01,2020,8,4.199999999999996,0.30000000000000027
202009,43.1,-3.8,3.1,-15.7,2020-09-01,2020,9,4.300000000000004,0.3999999999999999
202010,48.0,-3.7,3.4,-15.2,2020-10-01,2020,10,4.899999999999999,0.2999999999999998
202011,53.0,-2.9,3.7,-15.5,2020-11-01,2020,11,5.0,0.30000000000000027
202012,59.1,-1.6,4.0,-12.9,2020-12-01,2020,12,6.100000000000001,0.2999999999999998
202102,8.4,-6.4,1.0,-2.3,2021-02-01,2021,2,8.4,1.0
202103,15.2,-2.9,1.5,9.7,2021-03-01,2021,3,6.799999999999999,0.5
202104,19.6,-12.2,1.9,13.0,2021-04-01,2021,4,4.400000000000002,0.3999999999999999
202105,24.1,-15.4,2.4,24.9,2021-05-01,2021,5,4.5,0.5
202106,31.5,-2.0,3.6,55.5,2021-06-01,2021,6,7.399999999999999,1.2000000000000002
202107,37.5,-0.7,4.6,74.0,2021-07-01,2021,7,6.0,0.9999999999999996
202108,44.4,3.8,5.8,88.9,2021-08-01,2021,8,6.899999999999999,1.2000000000000002
202109,50.6,5.6,6.9,98.1,2021-09-01,2021,9,6.200000000000003,1.1000000000000005
202110,57.6,8.1,8.5,108.5,2021-10-01,2021,10,7.0,1.5999999999999996
202111,64.4,8.9,9.0,122.1,2021-11-01,2021,11,6.800000000000004,0.5
202112,74.5,12.5,10.5,139.3,2021-12-01,2021,12,10.099999999999994,1.5
202202,13.2,50.5,3.4,217.8,2022-02-01,2022,2,13.2,3.4
202203,21.3,42.1,4.8,205.7,2022-03-01,2022,3,8.100000000000001,1.4
202204,27.9,43.5,6.5,219.0,2022-04-01,2022,4,6.599999999999998,1.7000000000000002
202205,36.0,49.1,8.7,223.1,2022-05-01,2022,5,8.100000000000001,2.1999999999999993
202206,49.0,53.3,10.4,168.6,2022-06-01,2022,6,13.0,1.700000000000001
202207,58.5,56.0,12.1,143.8,2022-07-01,2022,7,9.5,1.6999999999999993
202208,67.9,53.1,13.5,116.2,2022-08-01,2022,8,9.400000000000006,1.4000000000000004
202209,77.7,53.9,16.1,117.3,2022-09-01,2022,9,9.799999999999997,2.6000000000000014
202210,87.2,51.4,17.2,103.5,2022-10-01,2022,10,9.5,1.0999999999999979
202211,97.7,52.2,19.0,95.0,2022-11-01,2022,11,10.5,1.8000000000000007
202212,109.9,49.0,20.4,81.7,2022-12-01,2022,12,12.200000000000003,1.3999999999999986
202302,20.2,40.3,3.6,5.6,2023-02-01,2023,2,20.2,3.6
202303,32.3,38.3,5.1,3.5,2023-03-01,2023,3,12.099999999999998,1.4999999999999996
202304,45.1,46.0,6.7,1.2,2023-04-01,2023,4,12.800000000000004,1.6000000000000005
202305,57.9,44.6,8.4,-6.2,2023-05-01,2023,5,12.799999999999997,1.7000000000000002
202306,72.0,31.2,10.9,0.9,2023-06-01,2023,6,14.100000000000001,2.5
202307,83.8,28.0,12.4,-3.1,2023-07-01,2023,7,11.799999999999997,1.5
202308,97.6,27.6,13.7,-4.3,2023-08-01,2023,8,13.799999999999997,1.299999999999999
202309,118.2,31.2,15.8,-3.0,2023-09-01,2023,9,20.60000000000001,2.1000000000000014
202310,123.4,28.2,17.1,-2.3,2023-10-01,2023,10,5.200000000000003,1.3000000000000007
202311,137.0,26.8,19.0,-0.1,2023-11-01,2023,11,13.599999999999994,1.8999999999999986
202312,152.9,26.2,21.3,3.4,2023-12-01,2023,12,15.900000000000006,2.3000000000000007
